FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
69,2019-05-24,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
70,2019-06-12,Falcon 9,,,,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,
71,2019-07-25,Falcon 9,,,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
72,2019-08-06,Falcon 9,,,,None None,3,False,True,False,,,,,,
73,2019-11-11,Falcon 9,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
74,2019-12-05,Falcon 9,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
75,2019-12-17,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
76,2020-01-07,Falcon 9,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
77,2020-01-19,Falcon 9,,,,None None,4,False,True,False,,,,,,
78,2020-01-29,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
79,2020-02-17,Falcon 9,,,,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
80,2020-03-07,Falcon 9,,,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
81,2020-03-18,Falcon 9,,,,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
82,2020-04-22,Falcon 9,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
83,2020-05-30,Falcon 9,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
84,2020-06-04,Falcon 9,,,,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
85,2020-06-13,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
86,2020-06-30,Falcon 9,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
87,2020-07-20,Falcon 9,,,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
88,2020-08-18,Falcon 9,,,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
89,2020-08-30,Falcon 9,,,,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
90,2020-09-03,Falcon 9,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
91,2020-10-06,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
92,2020-10-18,Falcon 9,,,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
93,2020-10-24,Falcon 9,,,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
94,2020-11-05,Falcon 9,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
